词,类,翻译,描述,例句,说明
pa,实体,东西、实体、物、者,指具体或抽象的物体、概念、实体，具有形状、大小、颜色、质地等属性。,,
fa,动作,行动、行为、动作、运动、活动,指具体或抽象的行为、动作，具有方向、力度、速度、时间等属性。,,
ma,性质,性质、属性、特性、特征、状态、状况、情况、情形,用于表示某一存在者、动作或关系所呈现出来的可被描述、区分或判断的方面；是性质词这一词类的总称，也可泛指事物所具有的某种状态或特征。,,
pale,动作,有、存在、存有,表示事物被判断为实际存有或占据时空的状态。,mi pale. 我存在。,
nufe,实体,Nufe 语言；语言、方言,特指这门语言。也泛指所有语言，即人类沟通的符号系统。,,
toli,动作,说、讲、演讲、对……说讲……,有内容的说话行为，宾语为说话的内容；可以明确其听者。,,
lu,实体,水,指液态的水这一自然物质，也可泛指清澈、无定形、可流动的液体。,,
ka,实体,火、火焰、火性之物,指自然界或人工产生的燃烧现象，作为能量、光与热的实体存在。,,
liew,性质,光的、明亮的、显现的；清明的、敞开的,表示一种使事物可被看见、被感知、被理解的状态。强调显现与敞开，而非能量或热。也可用于抽象或精神语境，指意识、存在或状态处于无遮蔽、无遮隐的状态。,liew ka. 明亮的火。,
mi,实体,我；此在,对话中的第一人称，指说话者本人。指当前经验中被感知为中心的存在者，不强调身份、角色或社会关系，仅指作为说话者的存在本身。,,
ti,实体,你；他在者、所指向的存在,对话中的第二人称，指直接听我说话的一方。指在当前经验中被认定为非自身、被指向的存在者，不必是人，也不必参与对话。,,
ho,实体,神、道、超越者（统一指称）,用于指向一切的非时间性来源。,,
muo,动作,吃、食用、食,将食物或可食用物摄入体内的行为。,,
na,功能,不、命题否定、不成立,用于否定一个完整句子所表达的命题是否成立，表示该判断为假。属于语言层面的逻辑否定。,,
gia,实体,人、人类个体,指具有人类身体、意识与社会行动能力的个体。强调作为行动、关系与叙述中的主体。也可在语境中泛指任何人、他人或某个不特定的人。,,
gita,实体,人民、民众、人群,指由众多人所构成的整体性人群，尤其强调作为共同生活、共同命运、共同社会结构中的“人民”。可用于表示一国之民、某地居民，或在政治、历史、文化语境中作为集体主体出现。相对于 gia 所强调的单一人之个体性，gita 更强调人的群体性、公共性与整体性。,,
sew,性质,平静的、安宁的、和平的、和睦的、和谐的、平和的,处于无冲突、无扰动的稳定状态；可指心理、环境或关系。,,
luw,实体,世界、世间、存在之域；万有之场、整体存在,一切生命、事物、关系与经验所共同构成的整体存在场域。包含自然、人类、非人存在及一切可能的存在形式。强调被经验、被居住、被卷入的“世界整体”，而非纯粹物理宇宙。,,
tisi,实体,世界、人世、人间；人类世界、文明世界；全球、人类共同体,指由人类构成并主导的世界层面。涵盖社会结构、文化系统、历史进程与文明网络。强调人与人之间的关系与共同生活的现实世界，不包含非人存在的整体性。,,
mela,动作,爱（某人、某物）、爱恋、依附、与……稳定持续地联结,表示主体对某一对象产生并维持爱的关系。该动作默认不强调激情、占有或交换，而侧重稳定的关切与连结。,mi mela ti. 我爱（爱恋）你。,
nipu,动作,爱、无条件地同在、不排除地接纳,表示一种不以改变、评判、净化、回避为目标的状态性行为。nipu 不是“让对方变好”，也不是“赞同其行为”，而是允许一切存在如其所是地显现于经验之中。其指向不限定对象，可指问自我、他者、世界、痛苦、罪、伤害者，甚至正在施害者。nipu 的核心不是情绪，而是不制造排除的停留。,mi nipu ti. 我爱你。,
te,动作,可以做、能做、具备能力做某事,表示主体自身具备完成某动作的能力或现实条件。常用于修饰其他动作，表示“能做某事”。,mi te muo. 我能吃。,
si,性质,小的,表示尺度、体量或强度处于较低水平的状态。,,
